Date,PE_ratio,CAPE
1947-07-31,10.679434132202863,11.696446553354363
1947-08-31,10.215881532778706,11.33747235532983
1947-09-30,9.716129032258065,10.827463017228837
1947-10-31,9.84076433121019,11.132662042754786
1947-11-30,9.60377358490566,10.975407324839072
1947-12-31,9.335403726708073,10.68091253196919
1948-01-31,9.024359075779058,10.419342657320323
1948-02-29,8.409526024799154,9.999761169144184
1948-03-31,8.362573099415206,10.186680609489674
1948-04-30,8.75,10.77948448202462
1948-05-31,8.922651933701657,11.241032697984439
1948-06-30,9.043010752688172,11.583895756523843
1948-07-31,8.50777202072539,11.134621739180933
1948-08-31,7.97,10.723556662478131
1948-09-30,7.613526570048309,10.55301368939916
1948-10-31,7.553666490927669,10.825409809169495
1948-11-30,6.897733988369941,10.248096205635571
1948-12-31,6.633187772925764,10.159652938900916
1949-01-31,6.620689655172414,10.24828575803898
1949-02-28,6.285106382978723,9.872517140570059
1949-03-31,6.264705882352941,9.901332491240924
1949-04-30,6.238818102209355,9.78363986754406
1949-05-31,6.175496066150509,9.692295086395816
1949-06-30,5.820833333333334,9.067718943419537
1949-07-31,6.158544981161362,9.605038093363925
1949-08-31,6.3885882849419,9.851348638079234
1949-09-30,6.481171548117154,9.884048361738287
1949-10-31,6.71407505059852,10.169850844772146
1949-11-30,6.874831969889004,10.21586101165065
1949-12-31,7.129310344827586,10.529330904131147
1950-01-31,7.223955457980802,10.745733299747911
1950-02-28,7.313041519888838,10.911564066731684
1950-03-31,7.320675105485233,10.910946522976257
1950-04-30,7.3516382532441575,11.178021600956098
1950-05-31,7.425513322836675,11.461543104586232
1950-06-30,7.377952755905511,11.554126144044288
1950-07-31,6.684615384615384,10.539745658930993
1950-08-31,6.928571428571428,11.04061167026154
1950-09-30,7.01470588235294,11.3373911022773
1950-10-31,7.199275362318842,11.662444039105264
1950-11-30,7.082142857142857,11.542173388716298
1950-12-31,6.954225352112676,11.306665788890761
1951-01-31,7.477076995209172,11.89575983943707
1951-02-28,7.764715017311785,12.141507370682692
1951-03-31,7.643109540636042,11.841626487283097
1951-04-30,7.847264734206127,11.951097197083959
1951-05-31,7.955250356408275,11.863875406269177
1951-06-30,7.922794117647059,11.61566485702518
1951-07-31,8.275471698113208,11.778190092457809
1951-08-31,8.872093023255815,12.256989084145143
1951-09-30,9.354581673306773,12.44495315715004
1951-10-31,9.394089284062622,12.309457904118688
1951-11-30,9.219227630889893,11.852030617771039
1951-12-31,9.594262295081968,12.147072568106777
1952-01-31,9.968392900559202,12.527059748172297
1952-02-29,9.841173813775985,12.36411935046109
