Date,Open,High,Low,Close,Adj Close,Volume
2018-02-03,150.95,151.53,138.05,142.93,100.24,41181962
2018-01-27,160.09,160.98,151.88,152.04,106.62,23198397
2018-01-20,154.41,161.3,154.02,159.98,112.19,30001790
2018-01-13,157.84,163.6,154.21,155.23,108.86,57463056
2018-01-06,155.51,157.69,154.59,155.97,109.37,23618471
2017-12-30,147.71,155.74,146.79,155.34,108.94,27610321
2017-12-23,145.8,147.92,145.79,146.67,102.86,11132579
2017-12-16,146.84,147.4,144.83,145.79,102.24,21065812
2017-12-09,148.62,150.91,145.34,145.79,102.24,33475556
2017-12-02,149.1,149.9,146.52,148.0,103.79,21374383
2017-11-25,145.37,148.2,144.95,147.95,103.75,25642794
2017-11-18,144.02,145.75,143.31,145.16,101.8,14475908
2017-11-11,142.33,143.55,139.78,142.42,99.87,25105883
2017-11-04,145.1,145.14,142.58,142.6,99.01,22925914
2017-10-28,147.0,148.12,144.83,144.91,100.62,20510282
2017-10-21,154.92,155.36,146.19,146.92,102.01,31475081
2017-10-14,140.75,155.33,139.75,154.94,107.58,60351794
2017-10-07,140.06,142.4,139.91,140.63,97.64,16932963
2017-09-30,138.96,141.05,138.82,140.04,97.23,13420179
2017-09-23,138.74,140.94,137.87,138.7,96.3,19491060
2017-09-16,138.44,139.47,137.88,138.75,96.34,18074148
2017-09-09,137.23,139.94,136.72,138.45,96.13,26261503
2017-09-02,137.19,138.28,135.41,136.19,94.56,14565759
2017-08-26,137.77,138.2,135.66,137.74,95.64,18660221
2017-08-19,133.45,137.85,133.01,137.42,95.41,16995930
2017-08-12,135.76,137.04,133.44,133.56,92.73,19657165
2017-08-05,138.62,138.71,134.98,135.6,93.17,19217321
2017-07-29,138.03,139.26,137.83,138.78,95.35,17469140
2017-07-22,140.54,141.0,137.32,137.94,94.78,22493707
2017-07-15,146.84,147.5,140.07,140.61,96.61,42200557
2017-07-08,146.19,147.82,145.36,147.46,101.31,16196368
2017-07-01,146.83,149.17,145.45,146.21,100.46,12138307
2017-06-24,147.91,148.9,146.41,147.07,101.04,14220056
2017-06-17,148.67,149.01,146.64,147.33,101.23,19591161
