Date,Open,High,Low,Close,Adj Close,Volume
"Oct 1, 2011","2,401.19","2,753.37","2,298.89","2,684.41","2,684.41","42,787,830,000"
"Sep 1, 2011","2,583.34","2,643.37","2,414.31","2,415.40","2,415.40","42,996,470,000"
"Aug 1, 2011","2,791.45","2,796.24","2,331.65","2,579.46","2,579.46","56,977,870,000"
"Jul 1, 2011","2,775.08","2,878.94","2,724.99","2,756.38","2,756.38","37,282,980,000"
"Jun 1, 2011","2,829.39","2,834.05","2,599.86","2,773.52","2,773.52","42,570,710,000"
"May 1, 2011","2,881.28","2,887.75","2,739.85","2,835.30","2,835.30","42,067,110,000"
"Apr 1, 2011","2,796.67","2,876.83","2,706.50","2,873.54","2,873.54","38,024,600,000"
"Mar 1, 2011","2,791.08","2,802.32","2,603.50","2,781.07","2,781.07","45,049,990,000"
"Feb 1, 2011","2,717.61","2,840.51","2,705.54","2,782.27","2,782.27","39,225,340,000"
"Jan 1, 2011","2,676.65","2,766.17","2,663.64","2,700.08","2,700.08","40,221,760,000"
